category,title,publisher,year,type,link,authors,code
Survey,Hyper-parameter optimization: A review of algorithms and applications,Arxiv,2020,paper,https://arxiv.org/pdf/2003.05689.pdf,"Yu, Tong and Zhu, Hong",
Survey,AutoML: A survey of the state-of-the-art,Knowledge-Based Systems,2021,paper,https://arxiv.org/pdf/1908.00709.pdf?arxiv.org,"He, Xin and Zhao, Kaiyong and Chu, Xiaowen",
Survey,"Hyperparameter optimization: Foundations, algorithms, best practices and open challenges",Arxiv,2021,paper,https://arxiv.org/pdf/2107.05847.pdf,"Bischl, Bernd and Binder, Martin and Lang, Michel and Pielok, Tobias and Richter, Jakob and Coors, Stefan and Thomas, Janek and Ullmann, Theresa and Becker, Marc and Boulesteix, Anne-Laure and others",
Survey,Hyperparameter optimization in learning systems,Journal of Membrane Computing,2019,paper,https://link.springer.com/article/10.1007/s41965-019-00023-0,"Andonie, R{\\u{a}}zvan",
Survey,On hyperparameter optimization of machine learning algorithms: Theory and practice,Neurocomputing,2020,paper,https://arxiv.org/pdf/2007.15745.pdf,"Yang, Li and Shami, Abdallah",
Survey,Multi-Objective Hyperparameter Optimization--An Overview,Arxiv,2022,paper,https://arxiv.org/pdf/2206.07438.pdf,"Karl, Florian and Pielok, Tobias and Moosbauer, Julia and Pfisterer, Florian and Coors, Stefan and Binder, Martin and Schneider, Lennart and Thomas, Janek and Richter, Jakob and Lang, Michel and others",
Survey,A review of automatic selection methods for machine learning algorithms and hyper-parameter values,Network Modeling Analysis in Health Informatics and Bioinformatics,2016,paper,https://link.springer.com/article/10.1007/s13721-016-0125-6,"Luo, Gang",
Survey,Methods for Hyperparameters Optimization in Learning Approaches: An Overview,ICML,2020,paper,https://link.springer.com/chapter/10.1007/978-3-030-64583-0_11,"Del Buono, Nicoletta and Esposito, Flavia and Selicato, Laura",
Survey,Automated machine learning: Review of the state-of-the-art and opportunities for healthcare,Artificial intelligence in medicine,2020,paper,https://www.sciencedirect.com/science/article/pii/S0933365719310437,"Waring, Jonathan and Lindvall, Charlotta and Umeton, Renato",
Classical Optimization Technique//Simple Search Scheme//Gradient-based Search,Gradient-based optimization of hyperparameters,Neural computation,2000,paper,https://www.researchgate.net/profile/Y-Bengio/publication/12368222_Gradient-Based_Optimization_of_Hyperparameters/links/546cd2620cf26e95bc3ca67e/Gradient-Based-Optimization-of-Hyperparameters.pdf,"Bengio, Yoshua",
Classical Optimization Technique//Simple Search Scheme//Grid Search,A practical guide to support vector classification,,2003,paper,http://www.datascienceassn.org/sites/default/files/Practical%20Guide%20to%20Support%20Vector%20Classification.pdf,"Hsu, Chih-Wei and Chang, Chih-Chung and Lin, Chih-Jen and others",
Classical Optimization Technique//Simple Search Scheme//Random Search,Random search for hyper-parameter optimization,Journal of machine learning research,2012,paper,https://www.jmlr.org/papers/volume13/bergstra12a/bergstra12a.pdf?source=post_page---------------------------,"Bergstra, James and Bengio, Yoshua",
Survey;Classical Optimization Technique//Bayesian Optimization,Algorithms for hyper-parameter optimization,NeurIPS,2011,paper,https://proceedings.neurips.cc/paper/2011/file/86e8f7ab32cfd12577bc2619bc635690-Paper.pdf,"Bergstra, James and Bardenet, R{\\'e}mi and Bengio, Yoshua and K{\\'e}gl, Bal{\\'a}zs",
Survey;Classical Optimization Technique//Bayesian Optimization,Taking the human out of the loop: A review of Bayesian optimization,Proceedings of the IEEE,2015,paper,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7352306&tag=1,"Shahriari, Bobak and Swersky, Kevin and Wang, Ziyu and Adams, Ryan P and De Freitas, Nando",
Survey;Classical Optimization Technique//Heuristic Search,Survey on Hyperparameter Optimization Using Nature-Inspired Algorithm of Deep Convolution Neural Network,Intelligent and Cloud Computing,2021,paper,https://link.springer.com/chapter/10.1007/978-981-15-5971-6_77,"Mohakud, Rasmiranjan and Dash, Rajashree",
Acceleration Method//Multi-fidelity Optimization,Gaussian process bandit optimisation with multi-fidelity evaluations,NeurIPS,2016,paper,https://proceedings.neurips.cc/paper/2016/file/605ff764c617d3cd28dbbdd72be8f9a2-Paper.pdf,"Kandasamy, Kirthevasan and Dasarathy, Gautam and Oliva, Junier B and Schneider, Jeff and P{\\'o}czos, Barnab{\\'a}s",
Acceleration Method//Bandit-based Algorithm,Hyperband: A novel bandit-based approach to hyperparameter optimization,JMLR,2017,paper,https://www.jmlr.org/papers/volume18/16-558/16-558.pdf,"Li, Lisha and Jamieson, Kevin and DeSalvo, Giulia and Rostamizadeh, Afshin and Talwalkar, Ameet",
Acceleration Method//Early Stop;Classical Optimization Technique//Bayesian Optimization,Freeze-thaw Bayesian optimization,Arxiv,2014,paper,https://arxiv.org/pdf/1406.3896.pdf,"Swersky, Kevin and Snoek, Jasper and Adams, Ryan Prescott",
Dynamic Algorithm Configuration//Gradient-based Optimizer,Online learning rate adaptation with hypergradient descent,ICLR,2018,paper,https://arxiv.org/pdf/1703.04782.pdf,"Baydin, Atilim Gunes and Cornish, Robert and Rubio, David Martinez and Schmidt, Mark and Wood, Frank",
Dynamic Algorithm Configuration//Population-based Algorithm,Population based training of neural networks,Arxiv,2017,paper,https://arxiv.org/pdf/1711.09846.pdf?source=post_page---------------------------,"Jaderberg, Max and Dalibard, Valentin and Osindero, Simon and Czarnecki, Wojciech M and Donahue, Jeff and Razavi, Ali and Vinyals, Oriol and Green, Tim and Dunning, Iain and Simonyan, Karen and others",
Dynamic Algorithm Configuration//Reinforcement Learning Method,Fast efficient hyperparameter tuning for policy gradient methods,NeurIPS,2019,paper,https://proceedings.neurips.cc/paper/2019/file/743c41a921516b04afde48bb48e28ce6-Paper.pdf,"Paul, Supratik and Kurin, Vitaly and Whiteson, Shimon",
